,open,high,low,close,volume,value,middle
2018-02-21 09:00:00,13542000,13650000,12411000,12815000,37637.76833,4.92965E+11,13030500
2018-02-22 09:00:00,12823000,13031000,11660000,11763000,37219.85617,4.54695E+11,12345500
2018-02-23 09:00:00,11761000,12170000,11271000,12065000,31053.11555,3.65496E+11,11720500
2018-02-24 09:00:00,12065000,12359000,11281000,11553000,21762.37417,2.57929E+11,11820000
2018-02-25 09:00:00,11553000,11613000,10805000,11230000,16499.63847,1.85761E+11,11209000
2018-02-26 09:00:00,11230000,11884000,10828000,11773000,24307.10812,2.76455E+11,11356000
2018-02-27 09:00:00,11778000,12165000,11463000,11951000,20616.46008,2.44517E+11,11814000
2018-02-28 09:00:00,11957000,12405000,11777000,11860000,21114.42802,2.54047E+11,12091000
2018-03-01 09:00:00,11865000,12250000,11603000,12214000,20882.28518,2.48836E+11,11926500
2018-03-02 09:00:00,12214000,12581000,12123000,12465000,23945.11756,2.95637E+11,12352000
2018-03-03 09:00:00,12465000,12831000,12347000,12831000,18163.17519,2.28966E+11,12589000
2018-03-04 09:00:00,12831000,12840000,12255000,12592000,16125.74326,2.0134E+11,12547500
2018-03-05 09:00:00,12592000,12899000,12451000,12746000,13919.50036,1.75703E+11,12675000
2018-03-06 09:00:00,12745000,12746000,11900000,12023000,15007.19978,1.85315E+11,12323000
2018-03-07 09:00:00,12023000,12221000,10900000,11200000,29131.72046,3.37513E+11,11560500
2018-03-08 09:00:00,11200000,11347000,10473000,10517000,21348.23284,2.32886E+11,10910000
2018-03-09 09:00:00,10519000,10644000,9306000,10418000,36119.23292,3.59088E+11,9975000
2018-03-10 09:00:00,10418000,10537000,9802000,9863000,16901.37797,1.73994E+11,10169500
2018-03-11 09:00:00,9863000,10636000,9552000,10520000,22131.28254,2.2291E+11,10094000
2018-03-12 09:00:00,10519000,10879000,9895000,10213000,23224.57971,2.43013E+11,10387000
2018-03-13 09:00:00,10213000,10355000,9900000,10168000,16134.01453,1.63564E+11,10127500
2018-03-14 09:00:00,10167000,10265000,9000000,9153000,19491.85046,1.88527E+11,9632500
2018-03-15 09:00:00,9141000,9300000,8438000,9115000,28078.89545,2.49635E+11,8869000
2018-03-16 09:00:00,9115000,9310000,8763000,9095000,14610.88216,1.32742E+11,9036500
2018-03-17 09:00:00,9095000,9150000,8521000,8667000,9640.055823,85560272227,8835500
2018-03-18 09:00:00,8667000,9080000,8056000,9018000,20951.8101,1.77096E+11,8568000
2018-03-19 09:00:00,9018000,9755000,8870000,9718000,26470.16483,2.45419E+11,9312500
2018-03-20 09:00:00,9718000,9996000,9160000,9829000,20520.44703,1.96492E+11,9578000
2018-03-21 09:00:00,9826000,10165000,9738000,9919000,16611.83303,1.65715E+11,9951500
2018-03-22 09:00:00,9919000,10050000,9505000,9783000,12988.83698,1.27016E+11,9777500
2018-03-23 09:00:00,9779000,9850000,9253000,9847000,15006.67818,1.42667E+11,9551500
2018-03-24 09:00:00,9847000,10000000,9550000,9580000,16804.40575,1.65029E+11,9775000
2018-03-25 09:00:00,9580000,9649000,9408000,9477000,11031.0758,1.05095E+11,9528500
2018-03-26 09:00:00,9480000,9570000,8801000,9052000,13942.96367,1.27581E+11,9185500
2018-03-27 09:00:00,9054000,9141000,8520000,8651000,14209.63715,1.2508E+11,8830500
2018-03-28 09:00:00,8651000,8886000,8560000,8730000,9953.73,86802477741,8723000
2018-03-29 09:00:00,8730000,8766000,7780000,7915000,18276.83129,1.51238E+11,8273000
2018-03-30 09:00:00,7911000,8090000,7431000,7602000,21297.75215,1.64045E+11,7760500
2018-03-31 09:00:00,7602000,7934000,7540000,7697000,13024.44542,1.00867E+11,7737000
2018-04-01 09:00:00,7688000,7774000,7087000,7482000,16446.53645,1.22342E+11,7430500
2018-04-02 09:00:00,7486000,7851000,7390000,7710000,15765.52177,1.20687E+11,7620500
2018-04-03 09:00:00,7713000,8175000,7643000,8092000,21006.76635,1.67328E+11,7909000
2018-04-04 09:00:00,8091000,8120000,7403000,7492000,16809.36722,1.31239E+11,7761500
2018-04-05 09:00:00,7492000,7834000,7188000,7408000,32381.00202,2.4267E+11,7511000
2018-04-06 09:00:00,7408000,7488000,7125000,7280000,9428.544,68879512444,7306500
2018-04-07 09:00:00,7277000,7673000,7232000,7533000,12182.38138,91234343726,7452500
2018-04-08 09:00:00,7533000,7657000,7480000,7622000,11679.05867,88577530198,7568500
2018-04-09 09:00:00,7621000,7752000,7290000,7450000,16765.03922,1.26574E+11,7521000
2018-04-10 09:00:00,7449000,7468000,7263000,7428000,12263.52285,90344438501,7365500
2018-04-11 09:00:00,7428000,7483000,7351000,7429000,13067.55564,96697377106,7417000
2018-04-12 09:00:00,7432000,8280000,7200000,8121000,40389.83331,3.16269E+11,7740000
2018-04-13 09:00:00,8125000,8625000,7925000,8375000,29730.02055,2.47054E+11,8275000
2018-04-14 09:00:00,8375000,8575000,8120000,8350000,18691.42302,1.56797E+11,8347500
2018-04-15 09:00:00,8349000,8710000,8250000,8663000,15472.99525,1.31664E+11,8480000
2018-04-16 09:00:00,8665000,8840000,8449000,8663000,17194.39324,1.48013E+11,8644500
2018-04-17 09:00:00,8663000,8704000,8360000,8450000,24694.92022,2.11661E+11,8532000
2018-04-18 09:00:00,8450000,8679000,8445000,8652000,20637.87689,1.77085E+11,8562000
2018-04-19 09:00:00,8652000,8999000,8601000,8994000,28767.85906,2.53644E+11,8800000
2018-04-20 09:00:00,8994000,9666000,8710000,9552000,25528.4796,2.32623E+11,9188000
2018-04-21 09:00:00,9552000,9845000,9285000,9735000,18553.756,1.77162E+11,9565000
2018-04-22 09:00:00,9735000,9757000,9500000,9602000,12583.32709,1.21048E+11,9628500
2018-04-23 09:00:00,9602000,9771000,9530000,9760000,12885.9209,1.24793E+11,9650500
2018-04-24 09:00:00,9758000,10670000,9730000,10505000,23344.48403,2.35822E+11,10200000
2018-04-25 09:00:00,10505000,10755000,9723000,9829000,25689.72597,2.62214E+11,10239000
2018-04-26 09:00:00,9829000,10508000,9510000,10130000,22295.30585,2.18686E+11,10009000
2018-04-27 09:00:00,10130000,10200000,9778000,9819000,17528.43198,1.76388E+11,9989000
2018-04-28 09:00:00,9821000,10118000,9750000,10043000,12164.64764,1.21743E+11,9934000
2018-04-29 09:00:00,10043000,10256000,9894000,10187000,14834.01523,1.50206E+11,10075000
2018-04-30 09:00:00,10187000,10292000,9934000,10138000,14851.10016,1.50446E+11,10113000
2018-05-01 09:00:00,10135000,10144000,9740000,9896000,15399.9137,1.52796E+11,9942000
2018-05-02 09:00:00,9896000,10078000,9811000,10032000,11828.98111,1.17882E+11,9944500
2018-05-03 09:00:00,10032000,10785000,10010000,10683000,20391.11857,2.08676E+11,10397500
2018-05-04 09:00:00,10670000,10901000,10500000,10645000,12582.44048,1.33815E+11,10700500
2018-05-05 09:00:00,10645000,10907000,10621000,10820000,9581.875222,1.0307E+11,10764000
2018-05-06 09:00:00,10820000,10963000,10500000,10684000,8806.005919,94436279578,10731500
2018-05-07 09:00:00,10684000,10721000,10264000,10422000,8143.484905,84745378279,10492500
2018-05-08 09:00:00,10439000,10499000,10130000,10233000,7651.234042,78939835696,10314500
2018-05-09 09:00:00,10230000,10433000,9917000,10405000,9955.394795,1.01379E+11,10175000
2018-05-10 09:00:00,10405000,10474000,9895000,9976000,9077.782695,93275451570,10184500
2018-05-11 09:00:00,9976000,9985000,8788000,9256000,20997.66993,1.99208E+11,9386500
2018-05-12 09:00:00,9257000,9644000,9014000,9481000,10980.18991,1.02591E+11,9329000
